Damage_Descp,losses
Decline in Price,208217531
Drought,801430613
Asian Soybean Rust,12865
Heat,416496757
Hail,418792903
Excess Moisture/Precip/Rain,2842780070
Frost,40405601
Freeze,118243521
Cold Winter,155502782
Cold Wet Weather,111742151
Flood,120829047
Area Plan Crops Only,54452552
Wind/Excess Wind,72767651
Hot Wind,18566675
Insects,9495289
Plant Disease,48035764
Wildlife,17758484
Failure Irrig Supply,250649477
Failure Irrig Equip,2140714
Inability to Prepare Land for Irr,177018
Fire,1078663
Earthquake,342177
Other (Snow-Lightning-Etc.),22314552
Cyclone,79596
Tornado,586238
Falling Numbers,87113
House Burn (Pole Burn),1562353
Insufficient Chilling Hours,34020
Mycotoxin (Aflatoxin),24858253
Hurricane/Tropical Depression,426201
Excess Sun,3256572
Federal or State Ordered Destruct,9158
Other Causes,199367